ID,Questions
1,What is the main alternative to SUMO for academic research and how is it different?
2,Which location has the highest value in the Banking Transactions dataset?
3,Where and when was the KMIL Amendment executed?
4,"In the Satyam College of Engineering, what is the subject taught on wednesdays between 10:20 and 11:10?"
5,What was EBCs annual revenues form operations in the years from 2018-2021
6,Who are the book running leads for the Hyundai IPO?
7,"Compare the aggregated amount raised by Mitsu Chem Plast, DeltaTech Gaming Ltd, First Meridian"
8,Which sections of the Income Tax Act deal with taxation of prize money from online gaming and horse racing?
9,How many sexual harassment complaints were filed in the 22-23 FY in Paytm?
10,What is the Cravath Scale salary for attorneys from the class of 2018?
11,"In the Cherabuddi Educational Society SLP, how many annexures are attached?"
12,"For Bikaji SSA, what is the stamp duty?"
13,What is the stamp duty for DTD-29-03-2025-Final.pdf
14,When was Suzlon Energy Incorporated?
15,"Who is the investigating officer assigned for the case in CHALAN--FIR NO-483-14 U-S-420,406-merged.pdf and what is his rank?"